web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data,title,data3,rating2,data4,data5,title2
1756053991-1,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,5% off,₹367,9717 Reviews,Free Delivery,₹350,Trendy Elegant Men Shirts
1756053991-2,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,5,,,9 Reviews,Free Delivery,₹286,Designer Trendy Men Trousers
1756053991-3,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,,,,Free Delivery,₹300,Tshirts
1756053991-4,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,7% off,₹442,51686 Reviews,Free Delivery,₹412,Youth First Men's Shirts
1756053991-5,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,7% off,₹290,29163 Reviews,Free Delivery,₹271,Classy Elegant Men Shirts
1756053991-6,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,10% off,₹412,4479 Reviews,Free Delivery,₹372,Classy Designer Men Shirts
1756053991-7,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,7% off,₹429,13538 Reviews,Free Delivery,₹400,Pack of 2 Fancy Fashionista Men Shirts
1756053991-8,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,7% off,₹359,9405 Reviews,Free Delivery,₹335,Pretty Ravishing Men Shirts
1756053991-9,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,10% off,₹267,396 Reviews,Free Delivery,₹241,Comfy Fabulous Men Tshirts
1756053991-10,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,8% off,₹354,115 Reviews,Free Delivery,₹327,Comfy Gym Vests
