web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,name,data,data2,data5
1756123825-1,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Denim waistcoat,Enlarge available colours,Save Denim waistcoat to favourites,"Rs.2,299.00"
1756123825-2,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Flared High Jeans,Enlarge available colours,Save Flared High Jeans to favourites,"Rs.1,899.00"
1756123825-3,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Fitted denim shirt,Enlarge available colours,Save Fitted denim shirt to favourites,"Rs.1,999.00"
1756123825-4,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Rhinestone-embellished T-shirt,Enlarge available colours,Save Rhinestone-embellished T-shirt to favourites,"Rs.1,499.00"
1756123825-5,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Button-detail top,Enlarge available colours,Save Button-detail top to favourites,"Rs.1,499.00"
1756123825-6,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Flared High Jeans,Enlarge available colours,Save Flared High Jeans to favourites,"Rs.1,899.00"
1756123825-7,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Waisted twill shirt,,Save Waisted twill shirt to favourites,"Rs.2,299.00"
1756123825-8,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Wide High Jeans,Enlarge available colours,Save Wide High Jeans to favourites,"Rs.3,999.00"
1756123825-9,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Wide High Jeans,Enlarge available colours,Save Wide High Jeans to favourites,"Rs.3,999.00"
1756123825-10,https://www2.hm.com/en_in/index.html,,https://www2.hm.com/en_in/women/campaigns/ds32r-sparkling-details.html,Button-detailed leggings,,Save Button-detailed leggings to favourites,"Rs.1,799.00"
