web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,category-link-1,category-link-1-href,pagination-selector,data,data3,price,data4,data6
1756100554-1,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#1,Rohit Agrawal,₹449.00,Paperback,PW EaJEE Handwritten Notes For Organic Chemistry By Rohit Sir & SKC Sir For JEE Main & Advanced | Chapterwise and Topicwise Notes | Handpicked Practice Questions & PYQs
1756100554-2,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#2,Wonder House Books,₹369.00,Board book,"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years"
1756100554-3,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#3,Vinod Kumar Shukla,₹188.00,Paperback,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ]
1756100554-4,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#4,James Clear,₹497.00,Paperback,Atomic Habits: The life-changing million copy bestseller
1756100554-5,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#5,Saleem Ahmed,₹449.00,Paperback,PW SKC Physics Crush Class 11 Handwritten Format Notes By Saleem Sir For JEE and NEET Exams | A Beautiful Journey From Basic to JEE Advanced via JEE/ NEET [Paperback] Saleem Ahmed
1756100554-6,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#6,Sank Magic,₹98.00,Spiral-bound,"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pen +1 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering"
1756100554-7,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#7,Morgan Housel,₹290.00,Paperback,The Psychology of Money
1756100554-8,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#8,Wonder House Books,₹125.00,Paperback,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time
1756100554-9,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#9,Fyodor Dostoyevsky,₹112.00,Mass Market Paperback,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics"
1756100554-10,https://www.amazon.in/gp/bestsellers/ref=zg_bsms_tab_bs,Bestsellers,https://www.amazon.in/gp/bestsellers/ref=zg_bs_tab_bs,Books,https://www.amazon.in/gp/bestsellers/books/ref=zg_bs_nav_books_0,,#10,Héctor García,₹375.00,Hardcover,"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life"
